,impedance_key,zCombo,transferFunc,transferFunc_latex,valid,fType,parameters,filterOrder,denom_order,numer_order
0,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, R_L)",R_1*R_4*R_L*g_m/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L),\frac{R_{1} R_{4} R_{L} g_{m}}{R_{1} R_{4} g_{m} + 2 R_{1} R_{L} g_{m} + R_{4} + 2 R_{L}},False,X-INVALID-ORDER,,BiQuad,0,0
1,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, 1/(C_L*s))",R_1*R_4*g_m/(2*R_1*g_m + s*(C_L*R_1*R_4*g_m + C_L*R_4) + 2),\frac{R_{1} R_{4} g_{m}}{2 R_{1} g_{m} + s \left(C_{L} R_{1} R_{4} g_{m} + C_{L} R_{4}\right) + 2},False,X-INVALID-ORDER,,BiQuad,1,0
2,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, R_L/(C_L*R_L*s + 1))",R_1*R_4*R_L*g_m/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L + s*(C_L*R_1*R_4*R_L*g_m + C_L*R_4*R_L)),\frac{R_{1} R_{4} R_{L} g_{m}}{R_{1} R_{4} g_{m} + 2 R_{1} R_{L} g_{m} + R_{4} + 2 R_{L} + s \left(C_{L} R_{1} R_{4} R_{L} g_{m} + C_{L} R_{4} R_{L}\right)},False,X-INVALID-ORDER,,BiQuad,1,0
3,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, R_L + 1/(C_L*s))",(C_L*R_1*R_4*R_L*g_m*s + R_1*R_4*g_m)/(2*R_1*g_m + s*(C_L*R_1*R_4*g_m + 2*C_L*R_1*R_L*g_m + C_L*R_4 + 2*C_L*R_L) + 2),\frac{C_{L} R_{1} R_{4} R_{L} g_{m} s + R_{1} R_{4} g_{m}}{2 R_{1} g_{m} + s \left(C_{L} R_{1} R_{4} g_{m} + 2 C_{L} R_{1} R_{L} g_{m} + C_{L} R_{4} + 2 C_{L} R_{L}\right) + 2},False,X-INVALID-ORDER,,BiQuad,1,1
4,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, L_L*s + 1/(C_L*s))",(C_L*L_L*R_1*R_4*g_m*s**2 + R_1*R_4*g_m)/(2*R_1*g_m + s**2*(2*C_L*L_L*R_1*g_m + 2*C_L*L_L) + s*(C_L*R_1*R_4*g_m + C_L*R_4) + 2),\frac{C_{L} L_{L} R_{1} R_{4} g_{m} s^{2} + R_{1} R_{4} g_{m}}{2 R_{1} g_{m} + s^{2} \left(2 C_{L} L_{L} R_{1} g_{m} + 2 C_{L} L_{L}\right) + s \left(C_{L} R_{1} R_{4} g_{m} + C_{L} R_{4}\right) + 2},True,BS,"{'Q': 2*sqrt(L_L)/(sqrt(C_L)*R_4), 'wo': 1/(sqrt(C_L)*sqrt(L_L)), 'bandwidth': R_4/(2*L_L), 'K_LP': R_1*R_4*g_m/(2*R_1*g_m + 2), 'K_HP': R_1*R_4*g_m/(2*R_1*g_m + 2), 'K_BP': 0, 'Qz': None, 'Wz': 1/(sqrt(C_L)*sqrt(L_L))}",BiQuad,2,2
5,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, L_L*s/(C_L*L_L*s**2 + 1))",L_L*R_1*R_4*g_m*s/(R_1*R_4*g_m + R_4 + s**2*(C_L*L_L*R_1*R_4*g_m + C_L*L_L*R_4) + s*(2*L_L*R_1*g_m + 2*L_L)),\frac{L_{L} R_{1} R_{4} g_{m} s}{R_{1} R_{4} g_{m} + R_{4} + s^{2} \left(C_{L} L_{L} R_{1} R_{4} g_{m} + C_{L} L_{L} R_{4}\right) + s \left(2 L_{L} R_{1} g_{m} + 2 L_{L}\right)},True,BP,"{'Q': sqrt(C_L)*R_4/(2*sqrt(L_L)), 'wo': 1/(sqrt(C_L)*sqrt(L_L)), 'bandwidth': 2/(C_L*R_4), 'K_LP': 0, 'K_HP': 0, 'K_BP': R_1*R_4*g_m/(2*R_1*g_m + 2), 'Qz': None, 'Wz': None}",BiQuad,2,1
6,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, L_L*s + R_L + 1/(C_L*s))",(C_L*L_L*R_1*R_4*g_m*s**2 + C_L*R_1*R_4*R_L*g_m*s + R_1*R_4*g_m)/(2*R_1*g_m + s**2*(2*C_L*L_L*R_1*g_m + 2*C_L*L_L) + s*(C_L*R_1*R_4*g_m + 2*C_L*R_1*R_L*g_m + C_L*R_4 + 2*C_L*R_L) + 2),\frac{C_{L} L_{L} R_{1} R_{4} g_{m} s^{2} + C_{L} R_{1} R_{4} R_{L} g_{m} s + R_{1} R_{4} g_{m}}{2 R_{1} g_{m} + s^{2} \left(2 C_{L} L_{L} R_{1} g_{m} + 2 C_{L} L_{L}\right) + s \left(C_{L} R_{1} R_{4} g_{m} + 2 C_{L} R_{1} R_{L} g_{m} + C_{L} R_{4} + 2 C_{L} R_{L}\right) + 2},True,GE,"{'Q': 2*sqrt(L_L)/(sqrt(C_L)*R_4 + 2*sqrt(C_L)*R_L), 'wo': 1/(sqrt(C_L)*sqrt(L_L)), 'bandwidth': (sqrt(C_L)*R_4 + 2*sqrt(C_L)*R_L)/(2*sqrt(C_L)*L_L), 'K_LP': R_1*R_4*g_m/(2*R_1*g_m + 2), 'K_HP': R_1*R_4*g_m/(2*R_1*g_m + 2), 'K_BP': R_1*R_4*R_L*g_m/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L), 'Qz': sqrt(L_L)/(sqrt(C_L)*R_L), 'Wz': 1/(sqrt(C_L)*sqrt(L_L))}",BiQuad,2,2
7,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, L_L*R_L*s/(C_L*L_L*R_L*s**2 + L_L*s + R_L))",L_L*R_1*R_4*R_L*g_m*s/(R_1*R_4*R_L*g_m + R_4*R_L + s**2*(C_L*L_L*R_1*R_4*R_L*g_m + C_L*L_L*R_4*R_L) + s*(L_L*R_1*R_4*g_m + 2*L_L*R_1*R_L*g_m + L_L*R_4 + 2*L_L*R_L)),\frac{L_{L} R_{1} R_{4} R_{L} g_{m} s}{R_{1} R_{4} R_{L} g_{m} + R_{4} R_{L} + s^{2} \left(C_{L} L_{L} R_{1} R_{4} R_{L} g_{m} + C_{L} L_{L} R_{4} R_{L}\right) + s \left(L_{L} R_{1} R_{4} g_{m} + 2 L_{L} R_{1} R_{L} g_{m} + L_{L} R_{4} + 2 L_{L} R_{L}\right)},True,BP,"{'Q': sqrt(C_L)*R_4*R_L/(sqrt(L_L)*R_4 + 2*sqrt(L_L)*R_L), 'wo': 1/(sqrt(C_L)*sqrt(L_L)), 'bandwidth': (sqrt(L_L)*R_4 + 2*sqrt(L_L)*R_L)/(C_L*sqrt(L_L)*R_4*R_L), 'K_LP': 0, 'K_HP': 0, 'K_BP': R_1*R_4*R_L*g_m/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L), 'Qz': None, 'Wz': None}",BiQuad,2,1
8,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, (C_L*L_L*R_L*s**2 + L_L*s + R_L)/(C_L*L_L*s**2 + 1))",(C_L*L_L*R_1*R_4*R_L*g_m*s**2 + L_L*R_1*R_4*g_m*s + R_1*R_4*R_L*g_m)/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L + s**2*(C_L*L_L*R_1*R_4*g_m + 2*C_L*L_L*R_1*R_L*g_m + C_L*L_L*R_4 + 2*C_L*L_L*R_L) + s*(2*L_L*R_1*g_m + 2*L_L)),\frac{C_{L} L_{L} R_{1} R_{4} R_{L} g_{m} s^{2} + L_{L} R_{1} R_{4} g_{m} s + R_{1} R_{4} R_{L} g_{m}}{R_{1} R_{4} g_{m} + 2 R_{1} R_{L} g_{m} + R_{4} + 2 R_{L} + s^{2} \left(C_{L} L_{L} R_{1} R_{4} g_{m} + 2 C_{L} L_{L} R_{1} R_{L} g_{m} + C_{L} L_{L} R_{4} + 2 C_{L} L_{L} R_{L}\right) + s \left(2 L_{L} R_{1} g_{m} + 2 L_{L}\right)},True,GE,"{'Q': (sqrt(C_L)*R_4 + 2*sqrt(C_L)*R_L)/(2*sqrt(L_L)), 'wo': 1/(sqrt(C_L)*sqrt(L_L)), 'bandwidth': 2/(sqrt(C_L)*(sqrt(C_L)*R_4 + 2*sqrt(C_L)*R_L)), 'K_LP': R_1*R_4*R_L*g_m/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L), 'K_HP': R_1*R_4*R_L*g_m/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L), 'K_BP': R_1*R_4*g_m/(2*R_1*g_m + 2), 'Qz': sqrt(C_L)*R_L/sqrt(L_L), 'Wz': 1/(sqrt(C_L)*sqrt(L_L))}",BiQuad,2,2
9,Z1_Z4_ZL,"(R_1, oo, oo, R_4, oo, R_L*(C_L*L_L*s**2 + 1)/(C_L*L_L*s**2 + C_L*R_L*s + 1))",(C_L*L_L*R_1*R_4*R_L*g_m*s**2 + R_1*R_4*R_L*g_m)/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L + s**2*(C_L*L_L*R_1*R_4*g_m + 2*C_L*L_L*R_1*R_L*g_m + C_L*L_L*R_4 + 2*C_L*L_L*R_L) + s*(C_L*R_1*R_4*R_L*g_m + C_L*R_4*R_L)),\frac{C_{L} L_{L} R_{1} R_{4} R_{L} g_{m} s^{2} + R_{1} R_{4} R_{L} g_{m}}{R_{1} R_{4} g_{m} + 2 R_{1} R_{L} g_{m} + R_{4} + 2 R_{L} + s^{2} \left(C_{L} L_{L} R_{1} R_{4} g_{m} + 2 C_{L} L_{L} R_{1} R_{L} g_{m} + C_{L} L_{L} R_{4} + 2 C_{L} L_{L} R_{L}\right) + s \left(C_{L} R_{1} R_{4} R_{L} g_{m} + C_{L} R_{4} R_{L}\right)},True,BS,"{'Q': (sqrt(L_L)*R_4 + 2*sqrt(L_L)*R_L)/(sqrt(C_L)*R_4*R_L), 'wo': 1/(sqrt(C_L)*sqrt(L_L)), 'bandwidth': R_4*R_L/(sqrt(L_L)*(sqrt(L_L)*R_4 + 2*sqrt(L_L)*R_L)), 'K_LP': R_1*R_4*R_L*g_m/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L), 'K_HP': R_1*R_4*R_L*g_m/(R_1*R_4*g_m + 2*R_1*R_L*g_m + R_4 + 2*R_L), 'K_BP': 0, 'Qz': None, 'Wz': 1/(sqrt(C_L)*sqrt(L_L))}",BiQuad,2,2
